date,product_id,quantity_sold,revenue,promotion_id
2022-01-01,P001,3,1200.9181906845422,
2022-01-01,P002,4,345.79653526717556,
2022-01-01,P003,6,1041.1033167487242,
2022-01-01,P004,6,2911.5349653562635,
2022-01-01,P005,5,2480.918320263483,
2022-01-01,P006,4,886.6122365385469,
2022-01-01,P007,4,131.46469989868623,
2022-01-01,P008,4,1578.9448843303066,
2022-01-01,P009,3,716.1414530745305,
2022-01-01,P010,5,209.37640281393482,
2022-01-01,P011,3,596.5622587336767,
2022-01-01,P012,6,1354.048331594428,
2022-01-01,P013,8,759.5894417504666,
2022-01-01,P014,7,1139.1689909866795,
2022-01-01,P015,7,177.40459312256593,
2022-01-01,P016,6,2690.7924102572874,
2022-01-01,P017,9,2605.6579271278115,
2022-01-01,P018,10,2004.5187194784617,
2022-01-01,P019,4,1931.9004022377105,
2022-01-01,P020,5,2015.3826028473973,
2022-01-02,P001,8,3202.4485084921125,
2022-01-02,P002,7,605.1439367175573,
2022-01-02,P003,3,520.5516583743621,
2022-01-02,P004,7,3396.7907929156404,
2022-01-02,P005,4,1984.7346562107864,
2022-01-02,P006,4,886.6122365385469,
2022-01-02,P007,4,131.46469989868623,
2022-01-02,P008,5,1973.6811054128834,
2022-01-02,P009,3,716.1414530745305,
2022-01-02,P010,3,125.62584168836088,
2022-01-02,P011,2,397.70817248911777,
2022-01-02,P012,7,1579.7230535268325,
2022-01-02,P013,2,189.89736043761664,
2022-01-02,P014,7,1139.1689909866795,
2022-01-02,P015,3,76.03053990967112,
2022-01-02,P016,4,1793.8616068381916,
2022-01-02,P017,3,868.5526423759371,
2022-01-02,P018,5,1002.2593597392308,
2022-01-02,P019,4,1931.9004022377105,
2022-01-02,P020,4,1612.3060822779178,
2022-01-03,P001,2,800.6121271230281,
2022-01-03,P002,2,172.89826763358778,
2022-01-03,P003,2,347.0344389162414,
2022-01-03,P004,5,2426.279137796886,
2022-01-03,P005,3,1488.5509921580897,
2022-01-03,P006,12,2659.8367096156408,
2022-01-03,P007,7,230.0632248227009,
2022-01-03,P008,3,1184.2086632477299,
2022-01-03,P009,6,1432.282906149061,
2022-01-03,P010,3,125.62584168836088,
2022-01-03,P011,7,1391.9786037119122,
2022-01-03,P012,7,1579.7230535268325,
2022-01-03,P013,4,379.7947208752333,
2022-01-03,P014,6,976.4305637028683,
2022-01-03,P015,2,50.68702660644741,
2022-01-03,P016,5,2242.3270085477398,
2022-01-03,P017,11,3184.6930220451027,
2022-01-03,P018,4,801.8074877913847,
2022-01-03,P019,7,3380.8257039159935,
2022-01-03,P020,6,2418.4591234168765,
2022-01-04,P001,8,3202.4485084921125,
2022-01-04,P002,3,259.34740145038165,
2022-01-04,P003,6,1041.1033167487242,
2022-01-04,P004,5,2426.279137796886,
2022-01-04,P005,8,3969.469312421573,
2022-01-04,P006,3,664.9591774039102,
2022-01-04,P007,4,131.46469989868623,
2022-01-04,P008,2,789.4724421651533,
2022-01-04,P009,4,954.8552707660407,
2022-01-04,P010,5,209.37640281393482,
2022-01-04,P011,7,1391.9786037119122,
2022-01-04,P012,5,1128.3736096620232,
2022-01-04,P013,1,94.94868021880832,
2022-01-04,P014,7,1139.1689909866795,
2022-01-04,P015,3,76.03053990967112,
2022-01-04,P016,4,1793.8616068381916,
2022-01-04,P017,1,289.5175474586457,
2022-01-04,P018,6,1202.711231687077,
2022-01-04,P019,12,5795.701206713132,
2022-01-04,P020,5,2015.3826028473973,
2022-01-05,P001,6,2401.8363813690844,
2022-01-05,P002,3,259.34740145038165,
2022-01-05,P003,7,1214.620536206845,
2022-01-05,P004,8,3882.046620475018,
2022-01-05,P005,2,992.3673281053932,
2022-01-05,P006,5,1108.2652956731836,
2022-01-05,P007,4,131.46469989868623,
2022-01-05,P008,1,394.73622108257666,
2022-01-05,P009,6,1432.282906149061,
2022-01-05,P010,4,167.50112225114785,
2022-01-05,P011,4,795.4163449782355,
2022-01-05,P012,5,1128.3736096620232,
2022-01-05,P013,4,379.7947208752333,
2022-01-05,P014,7,1139.1689909866795,
2022-01-05,P015,6,152.06107981934224,
2022-01-05,P016,3,1345.3962051286437,
2022-01-05,P017,4,1158.0701898345828,
2022-01-05,P018,3,601.3556158435385,
2022-01-05,P019,4,1931.9004022377105,
2022-01-05,P020,1,403.07652056947944,
2022-01-06,P001,10,4003.0606356151407,
2022-01-06,P002,5,432.24566908396946,
2022-01-06,P003,7,1214.620536206845,
2022-01-06,P004,3,1455.7674826781317,
2022-01-06,P005,0,0.0,
